Chain ID,Transaction Hash,User,Log Index,Effective PT Trade Volume,Swap Fee,Effective Implied Yield,Post Swap Implied Yield
1,0xa1d09052c6462be8020f3d7fc86ee475ed10621ef3e7a119fcd0a2ba9f8987a9,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,201,100.007131,0.119495,0.026816,0.022079
1,0x713bb008147da96271a42ba381371aafae0705df44797deec37ef8cd3b5fe32b,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,33,7810.09437,9.332042,0.026765,0.022029
1,0x9eac85c0fcd1b61787e3c8c9f4253e8426746236e4f3c7208419a0daff1e053a,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,381,40055.468449,37.890951,0.043531,0.046011
1,0x9a4db2d1ad205d74e7e09522af0ce2c86e5c8f557459d842f6deba28e1415ca1,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,399,11.541649,0.016663,0.073812,0.049265
56,0x87dcefcaa693d4ff94cd9043b9fc4220f191a0e15f8fe4d877c5abc1a9758e38,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,193,9245.888678,13.349307,0.045778,0.030963
1,0xa35cc7571d0c5980dbd3121a139b355011cfc10b9f5287fcb099fde57a9b5d0a,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,335,8455.522431,20.620018,0,0.034333
1,0x8aaed7028ec0f74f2283dc3ad773fc58756dbb8280e64fd3d5910301891e9a5b,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,186,884.670919,1.277306,0.063232,0.042414
56,0x7bcc4849924cbba5cb8a89decdcb55d2b0dfe1a2ffc9517474d8580417e6dd52,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,394,65.722152,0.127598,0.064005,0.032908
56,0xc2541ce1971fe8666211125eb8cb9c08f221c5d29c9bfe31b147f0c33fba6b94,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,290,1788.708483,3.472996,0.066156,0.032926
56,0x8f8cbe0d88ee1b59c7b9eb03762751b4a48abc2c22a0b0e0b1819047440a7d3a,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,79,1162.14975,1.678589,0.044133,0.030863
1,0x356ea6b263b1606f2adc1db861b0af7db39c60b530b7c676c3d6ee88b2448241,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,313,412.908594,0.390899,0.046304,0.047797
1,0x678b598552c314fc4a29ad9a4af45c0204e8ead2613216b69992623583d1892e,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,386,410.52175,0.490922,0.032982,0.028105
1,0x73f32c31b56ebc4b6d459d496cf827008ee9946860ba3fd6be35010ff623f931,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,383,4047.983908,4.84264,0.033,0.028109
56,0x6ff02900f2a71ccf07af549c2605f6a8e67e529b847e85035ad72123da67bab4,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,126,235.067878,0.339822,0.044191,0.030875
56,0x72aef34aedfa32cc20ad216a42a24ed5d4d2f74a35d4810038b8a0450ce0b48d,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,199,1504.753254,2.923996,0.06517,0.032427
56,0xb28543f2354413c7238c293f3348dd751ab7fb8f7ab6f08fd31c6e5c39c33570,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,126,52.822976,0.102644,0.064221,0.031984
56,0xa99b2d311433f15fabb4b16cb4aac23901f94ef998f73a5471d45b6aff2ecb32,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,97,1409.904,1.336413,0.02254,0.024492
56,0xf3f75cffb58fe60e8f88ca88c152bb2c8ceb049132a69989e6be3d018351f7bc,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,362,7657.466626,14.880376,0.061955,0.031968
56,0x7c7ecbf72027d9c2de8242a74637b72c741dde6542c043e4d8d89b24755558ce,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,154,15679.809095,14.86378,0.023677,0.024654
1,0xcd75122afea337d531694eb61701bcec276a10fe81f18d2d5f9fe0dc9749b4e1,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,297,19.251765,0.027834,0.061776,0.042409
56,0x10edf1556a73e525a0fbe19b8426a902b95a04e9a062902821c1e13007376c28,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,135,16937.581436,16.059831,0.020919,0.022821
1,0x5e16ac6eecff96e58ac8460ae6efbd44bd8a681b51018069ad00a459f2e0f528,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,250,1246.465108,1.492191,0.033073,0.028149
1,0xd91878b2e3fa292320b0b4a78c6d9805819bbb80c1e7002cba892b1d7a582604,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,347,8.649332,0.008201,0.035169,0.035348
56,0xdbe8e105a698c4563e8897ab3a4be16ca3db9fe4fbec67e6bbae65ff4bb03503,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,560,50.719384,0.048105,0.022945,0.024895
56,0xe3ff4aa6455d076563bdc5568d1e1dbf6bebc142e743dcba3b17182d96fe7c83,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,400,3539.334472,6.879953,0.069413,0.034427
56,0x13c0bf8695df5f9d195da17779ca59a2b10a5463ab35c152814d6e3bdaa0d138,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,158,1465.884203,2.849496,0.066969,0.03328
1,0x49d7160ff37f608608b154b3a750331be3b71baa76c619c9e153ac0f5e480943,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,383,9.362787,0.00888,0.035178,0.035348
1,0xb753de1ac463e3e76c3bbc522c6c734085acdd2a7733b8690d9fb2f0a045b4a8,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,248,31718.038566,77.430687,0,0.034287
1,0x6bd521fdef4d88e6f2b5a37d1c11d4452a1ff6351af2af3dd1e8112f0f3ee287,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,234,27010.460204,65.938518,0,0.034114
1,0xaf8cde5c11f402bb6879431d6eea2cc8e69d1b4a271ca3505b1c5879f042e422,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,183,21629.06862,96.184132,0,0.035942
1,0xc2841db0d81281b48260c9356769a7ff26d1986e0dca9fb1e31f52c8c84ea121,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,1111,1310.389559,1.895373,0.061804,0.042409
1,0xba07ab9a70b3a789d1403d4065e44f645aa023ad6161c4a6de467ddf8f560fcf,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,1100,1975.514726,2.365853,0.033101,0.028162
1,0x5900704eb0aa66590031ac977431db9fd3b647d99f7f5fac362f1984c36d1506,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,191,3994.38894,4.783679,0.033125,0.028181
56,0x09e239fc9c3023aba7d74bd3304f4943761e0d6fcc94d0a78c29e2744f529fcf,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,329,14.080092,0.020366,0.044223,0.030878
56,0x86e4367977b7a3739a24d353b1884ca7157c352ce106e02ca2da642dda4c5b30,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,137,1133.291125,2.203281,0.063862,0.032807
1,0x77ea57c991b5dd430e7ff9bb36fa0df2182846b76d638009d1d5052a613f6149,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,242,1925.295868,8.562381,0,0.035655
56,0x06cd4b1ad05eda47e787275d741f387b800b60d5fe9e29f5615fa65a6ca77ffa,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,76,1098.094724,2.135069,0.066762,0.033177
56,0x6e142ac262a4711952d984ce2bf55afe8dca598d81c24c601c8a371f4ccac40c,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,418,1486.241248,2.889762,0.066027,0.032818
56,0xa949e4ae4459d4510072da76cb5b5e6a2e56f15526ecdd77de221b1a4a594c32,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,467,1126.785731,2.190861,0.065012,0.032334
1,0x5fa838f2571591ad1a06eab06e32c198880e92e751b40e73abc5add425801dce,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,176,14690.874941,35.871305,0,0.033966
1,0xe8f35c3d179060fda6d9389f1edfced5eb0adcd82735599d01ed73c14e6028e9,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,100,3406.349778,3.233299,0.046429,0.047779
1,0x6263d68b0b2edd6ea8312b866ed42dfdc82ec0e25eb52bce2a3c33a608f46356,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,162,4057.075279,4.861308,0.033193,0.028221
56,0xb174ea3d844f1a55ae67fcb098daa3c12b031f00e5fb767e00ed9d79da1e5884,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,79,69.457207,0.135083,0.062172,0.031968
56,0xa957989afd8bb995bba236420571ab526370dc20f8bed5d812dbe8b04adfedb2,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,226,2092.107249,4.068835,0.062174,0.03199
56,0x823273f1bebc2547f5968a84e2307cd787a0f223221f502aad173dbff017d565,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,129,923.797835,1.79677,0.065728,0.03267
56,0x360a09931874481fd8d26a916dffe857f19751d2edc43401aed89c48b63a14df,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,401,64.050843,0.060847,0.022989,0.024901
56,0x2238b6aee248951c79adfa2acfb67251d2db0d0ca68e7bd8ccf69a45300dd13e,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,134,5493.875012,10.68737,0.062884,0.032369
56,0xcc744eedd3fd3703c9d9884b125a2953939b14241bf15227a87e31150ef65346,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,142,4018.773827,3.81803,0.023973,0.024909
56,0x53ab8741a964fcdd76820278fbfdf651b1209c75d406b9bbd9a813aa5fc241fb,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,97,572.841354,0.544247,0.022526,0.024424
1,0xa6793e73bf411cc494a00c0c90af89f0ab07adbf5d5f3a38c7acd8c0bf37cf76,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,253,10141.765688,24.773253,0,0.034046
1,0xbd49efca8f9f145d336342b450d7fa2f6eb224b77e15cd6a5cfd6fce70bff2ba,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,185,906.293367,1.312202,0.063419,0.042416
1,0xa7ca139dd51438b83892bef43c92be0ad3f57cff909c8d2bc9629c13e1a411de,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,147,724.978129,0.869408,0.033272,0.028262
1,0x2574f1334d841eb6248521963fda5d07a92fbc2482000d5c4b9d5d67364e5b9e,0x0000000001E4ef00d069e71d6bA041b0A16F7eA0,157,39.455108,0.057134,0.061881,0.042411
56,0xd1fab8d9bac09bd96dda845af7c686a5d3320846e749b2f0b2af012d93442eeb,0x00000000025EFaDc0b8d17d3d87aB5056e3D2510,224,705.65607,0.670592,0.022599,0.024493
